,comments,date
43,$PANI nah ayo warga xl haka dulu sampe ksini,"12 Dec 22, 13:52"
44,"Technicalist atau chartist harusnya bisa ngeliat peluang di $PANI, silakan atur Trading Plan dan MM nya, karena potensial.
Apakah bisa menutup gap 1110 sekaligus 61,8% fibonacci levelnya?","12 Dec 22, 13:38"
45,"$PSKT sold dulu yaa...

nyari modal buat nambah di $PANI

DYOR
kagak ngajak jual atau beli saham apapun. 😂","12 Dec 22, 13:32"
46,"menelaah bagger2 tahun ini apa yg bisa dipelajari?!
$SINI $BYAN $KRYA $CHEM $PANI BUMI","12 Dec 22, 13:30"
47,aku suka $PANI. @andryhakim ko,"12 Dec 22, 13:10"
48,halu nya bisa kyk $PANI. wkwk,"12 Dec 22, 12:02"
49,$PANI aset segini kalau hitung valuation saat ini 13.3T masih undervalue.,"12 Dec 22, 11:55"
50,$PANI bonus akhir tahun udah cair tinggal ngisi amunisi...,"12 Dec 22, 11:14"
51,"Itu semacam bulletin dari sekuritas Trimegah ya?
Kalau emiten ditayangkan pada satu edisi nya, ya tentu ada alasan nya.
Tinggal tunggu saja ada sekuritas yang merekomendasikan $PANI","12 Dec 22, 11:09"
52,$PANI 18 hari lagi khah?,"12 Dec 22, 10:43"
53,"$PANI semoga nanti kamu disukain fund manager"" ya...... kalau ritel tektokers melulu bikin ngantuk.......","12 Dec 22, 09:43"
54,$PANI yukk good day hari Senin,"12 Dec 22, 08:54"
55,$PANI sabtu2 liat youtube eh di beranda ada om @andryhakim di youtubenya mirrae asset...liat dulu ahh siapa tau ada bocoran....,"10 Dec 22, 14:56"
56,$PANI gmna om 🙏,"9 Dec 22, 22:46"
57,"$PANI happy nice weeken yah holder PANI , aku liburan dulu ke Bali Sabtu n Minggu
mudah2 an sesion 2 hijau yah","9 Dec 22, 12:54"
58,$PANI masih adakah yg sangkut di > dari 1500,"9 Dec 22, 11:38"
59,$PANI 21 hari lagi guys bagi yg tau ya di PANI,"9 Dec 22, 11:27"
60,"$PANI sisa cash 250 juta , titip pesan bagi2 scalper bocil2 , turunin ke 920, aku mau beli 50 juta di 920","9 Dec 22, 11:02"
61,$PANI yg mau nebar feae silahkan aku average 952 nie,"9 Dec 22, 10:13"
62,$PANI 😭😭😭😭 harap hara cemas bad day guys,"9 Dec 22, 10:13"
63,$PANI 995 n 990 persimpangan baf day or good day 😭😭😭,"9 Dec 22, 10:12"
64,"Wah bahaya ni $SMDR kalau @MarlonSitorus udah masuk. Bisa turun terus kayak $WIRG & $PANI.

Canda y pak 😃","9 Dec 22, 10:04"
65,"$PANI hasil analisa bottom nya di 920😴, sekarang investor, mulai belanja lagi menjelang lk q3 rilis","9 Dec 22, 09:35"
66,"$PANI bad day khah Jumat, biasanya Jumat merah merona
mudah2 an berkahhati ini buat holder PANI
yukk berharap hijau pekat ke 9 nagai","9 Dec 22, 09:16"
67,"ini kok $PANI makin sepiii perdagangannya di week ke-1. apakah krn resesi? atau krn barang sedikit? atau pada wait & see? atau kapok cutloss? 🤣 🤣

PANI
1-8 Nov VS 1-8 Des
(Top 10 sekuritas)

1-8 Nov
Nett Buy :
112K lot value 12 Bio

Nett Sell :
88K lot value 9 Bio
====================
1-8 Des
Nett Buy :
44K lot value 4 Bio

Nett Sell :
54K lot value 5 Bio

#tau-tau2000
#operasi-senyap

*pendapat pribadi, gak ngajak jual & beli","8 Dec 22, 21:19"
68,"$PANI 23 hari lagi bagi yg tau aja , yg ga tau DM aja","8 Dec 22, 16:36"
69,$PANI ntabb...sipakah yg haka..awww,"8 Dec 22, 15:12"
70,$PANI masuk pa Joko good day,"8 Dec 22, 13:58"
71,$PANI ngerti kan? masa gk ngerti? 🤣,"8 Dec 22, 13:08"
