,comments,date
430,Yg pegang saham ini lama sudah kenyang & nggak ambil pusing dengan ARB. Kalau ada dana mesti malah nambah. $PANI,"16 Nov 22, 15:01"
431,"@Saba1974 kenapa murah bang $PANI ?

@@ipunk1989 kenapa bisa ke 2000?","16 Nov 22, 14:56"
432,$PANI kgak dikasih turun ama the dragon...menuju 2000 an ini,"16 Nov 22, 14:44"
433,"$PANI info dari 9 naga ke 52000 guyss
happy cuan dari 9 naga","16 Nov 22, 14:36"
434,$PANI awas ARB,"16 Nov 22, 13:24"
435,$PANI ada info kapan LKnnya rilis ya ?,"16 Nov 22, 13:12"
436,@Yudhi123 🤣🤣🤣🤣 ente kadang kadang ente suka benar $BSBK $PANI,"16 Nov 22, 11:46"
437,"@DanielThaniago kamu nanya? kamu bertanya tanya? aku kasih tau ya, di postingan ini sudah saya cantumkan target take profit saya berapa $PANI","16 Nov 22, 11:25 · Edited on 16 Nov 22, 11:32"
438,@VitranEtrama $PANI masih hold keras bang?,"16 Nov 22, 11:21"
439,"@ipunk1989 dikit. masih lebih banyak @andryhakim , pegang 20 juta lembar $PANI . gue ngiler liatnya di Mirae hots Championship","16 Nov 22, 11:17"
440,@pejuang0304 $PANI $ZATA $BSBK $TRIS $IHSG,"16 Nov 22, 11:12"
441,@WillDjon kamu nanya? kamu bertanya tanya? $PANI silahkan riset sendiri,"16 Nov 22, 10:53"
442,2018 pihak ASG blm ada rencana mau backdoor listing $PANI kenapa sudah di hold pak?,"16 Nov 22, 10:42"
443,"$PANI running profit plus modal jadi 1,5 M. Duit tembus 10 M baru gue lepas ini saham. Holder keras $PANI sejak IPO tahun 2018 .","16 Nov 22, 10:37 · Edited on 16 Nov 22, 10:38"
444,Kamu nyangkut ya di $PANI ? Jadi ngajakin orang buat ikutan $PANI wkwkwwk,"16 Nov 22, 09:47"
445,@ervanz wkwkw yang penting $PANI jaman kayak properti IKN $BSBK aja. Nyungsep ke bawah 🤣🤣🤣,"16 Nov 22, 09:36"
446,"$EURO-W trima kasih.. sold.

jarang pamer bagger, bagger itu hall biasa kawan.

selalu bersyukur, duit masing-masing di manage masing-masing


kalo utk $PANI ini utk jangka panjaaangg....mau dibalikin ke 1000 rapopo .mau 950 rapopo.

Yg gak kuat mentall please kendalijan emosi klo di banting di 😂 🤣","16 Nov 22, 09:36"
447,yang calon naik itu tetap $PANI . kalau $BSBK ARB lah masa ngga ARB,"16 Nov 22, 08:53"
448,$PANI,"16 Nov 22, 07:30"
449,"UPDATE :

$CAKK : Sudah masuk area buy di 228, kemungkinan besok masih bisa turun ke level 222. Jika close harga nya dibawah 220, pertimbangkan untuk CL terlebih dahulu

DMMX : hari ini juga di kasih masuk di area entry, dan close di atas harga entry dengan asumsi floating profit 2%an, kemungnin besok harganya masih akan turun karena rebound kecil hari ini tidak disertai dengan breakout volume

RMKE : Masuk ke area entry, jika besok makin turun, pertimbangkan untuk cl jika harga close nya di bawah level 935 nya sebagai support minor

: Hari ini ada yng coba angkat tapi belum kuat, semoga besok dikasih ke area entry dulu

: Hari ini tidak ada volume beli maupun jual, masih menunggu sger koreksi ke harga setengah candle mother candle hari senin kemarin

ARTO : Hari ini hampir sentuh area TP1, tapi belum dikasih koreksi ke area entry buy, volume hari ini pun masih sangat kecil

: Hari ini coba break level 1165. dan berhasil close di level 1190, sempat naik ke level 1240. namun tidak kuat menanjak karena RF yang kemarin akum hari ini terlihat jualan, Harusnya besok akan menguji lebel 1240 lagi, jika di break dan volume besar, boleh hold, stop loss jika harga close di bawah 1165, dan re entry di area 1000 sebagai support minor sekaligus support psikologis nya

SAME : Masih oke jika mau avg down di area 280-274

: bisa spec buy di area 189, karen dia mantul setelah koreksi di fib retrace

SMRA : baru masuk area entry

Nb: ini analisa pribadi yagesya, cuma saya nitip di stockbit, manatau ada yg bersedia sharing view dari pengguna stockbit yg lainnya

SS an di bawah ini saya ambil di tgl 14 nov ygy","16 Nov 22, 00:40"
450,$PANI kasi ke 800an dulu ndar seperti kemarin .gw mau beli .. kalau NDAR pecinta bebek kuning pasti ngabulin harapan ente,"15 Nov 22, 23:54 · Edited on 15 Nov 22, 23:55"
451,@dotz ya mending $PANI lah daripada $OASA 🤣,"15 Nov 22, 22:53"
452,"$PANI kalau dilihat dari bentukan chart nya sih CnH yaa, kalau confirm CnH arah nya -+1500

$ZATA $PDPP $ADMR $UFOE","15 Nov 22, 21:58"
453,"Kayak keong $PANI hakhakhak

mau pakai 100, 500 triliun harga pasar tetap kayak cippputttt","15 Nov 22, 21:09"
454,"@jusniar , maaf om
kalau boleh tau berdasarkan data atau kinerja apa, $PANI bisa ke 5000?","15 Nov 22, 20:56"
455,@Saba1974 karena begitu sulit lupakan reyhan 🎵🎵🎵 dan begitu sulit lupakan $PANI 🤣,"15 Nov 22, 20:47 · Edited on 15 Nov 22, 20:50"
456,"$PANI sewaktu hijau disuruh Merah, pas Merah gak berani beli ( dihujat, dihina, dimaki, dikatain saham busuk) Rupanya besoknya terbang, trus FOMO Haka, besoknya lagi Merah, akhirnya CUTLOSS ( Dimaki, dihujat, dihina lagi) * REPEAT * 🤣🤣 Apa maunya ni orang2 ya 🤣🤣 #Holders always win 💎💎","15 Nov 22, 20:36"
457,$PANI hold keras pani....5000 di dpn mata,"15 Nov 22, 18:44"
458,"@VitranEtrama beneran loe bro pegang 1.3 JT lembar $PANI , klo $ASHA gimana tuh bro","15 Nov 22, 18:23"
459,"StockPick 16 November 2022
(https://bit.ly/bernardidz)
(https://bit.ly/room-cuancommunity)

$BUKA » BUY IF BREAK 318 » CL BELOW 302 » RES 354
$CTRA » BUY IF BREAK 965 » CL BELOW 950 » RES 1020
$INDF » BUY IF BREAK 6450 » CL BELOW 6325 » RES 6825
$PANI » BUY IF BREAK 1165 » CL BELOW 980 » RES 2010
$RAJA » BUY IF BREAK 1165 » CL BELOW 1125 » RES 1230

Note:
RES » RESISTEN
CL » CUTLOSS

Update Info Saham Terbaru:
➡️ ⬅️

Belajar Trading Saham Gratis:
➡️ ⬅️

Untuk informasi lebih lengkap, kamu boleh tanyakan ke:
Juni ()
Viona ()

(Disclaimer On)

Cek disini:","15 Nov 22, 17:30"
460,$PANI JANTUNG AMAN BRE? WOKWOKWOKWOKWOK,"15 Nov 22, 14:15"
461,"$PANI gue jadi kasian sama nyangkuter $BSBK kemarin nanya gue enaknya beli $PANI atau $BSBK karena sama"" perusahaan property. gue saranin beli $PANI aja mumpung harga masih Rp. 1040 . tapi dia ngeremehin saran gue, dia bilang gue $PANI lover dan dia bilang $BSBK itu punya projek bangun kawasan perumahan di IKN yang lebih besar dari PIK 2. Tapi sekarang rasain tuh BSBK ARB berturut - turut. 🤣🤣🤣 sementara PANI naik keras. makanya kalau di saranin sama yang pengalaman NURUT, ngapain lu DM minta saran gue kalau akhirnya lu cuma ngetest seberapa akurat analisa gue tentang pergerakan harga saham. 🤣🤣 Besok BSBK akan semakin turun dan PANI AKAN TO THE MOON. AHAHAHAHAHA","15 Nov 22, 13:59"
462,"$PANI la la la la la la 💃
heran sama komen2 ga jelas. lg ijo bagus, malah dikata2in suru ke turun merah, ntar waktu merah dikata2in lagi saham jelek... lucu eman kadang....💩","15 Nov 22, 13:50"
463,$PANI Buang Barang Kaliann huahuahhuah,"15 Nov 22, 11:32"
464,$PANI sesii 2 ARB wokwowkwowkwowkw,"15 Nov 22, 11:32"
465,$PANI Ga Terbang lagi? hihihi Bensinnya abis atau gimna ya? kalo bensinnya abiss beli nya jaauh lagi dong di bawahh hohohoho kayanya arb nih buaat beli bensin hahahahaaha,"15 Nov 22, 11:30"
466,"$META izin ikut meramaikan om ndar😉
$WMPP $IRRA $SICO $PANI","15 Nov 22, 10:44"
467,@Mohabu KALAU ARB BISA GA $PANI HARI INI?,"15 Nov 22, 10:34"
468,"$PANI
let's go 🚀👑","15 Nov 22, 09:28"
469,"$PANI benarkan tiba2 1200an, next bisa jadi 1500an 🤣","15 Nov 22, 09:14"
470,$PANI LK Q3 rilis tau tau sudah 2K @Saba1974 🤭,"15 Nov 22, 09:12"
471,$PANI mulai menarik,"15 Nov 22, 09:11"
472,"$PANI : Gorengan!

Breakout 1.165, menarik!

Good luck

Saham lainnya bisa cek di https://bit.ly/3L3IIyk","15 Nov 22, 08:55"
473,$PANI yuk hari ini break 1200 dong☺️☺️,"15 Nov 22, 08:52"
474,"$TPMA
$FITT
$MDKA
$MPMX
$PANI

Izin Ndar 🇮🇩","15 Nov 22, 06:23"
475,"$PANI Kalau 6000 ha dimasukkan dgn total kepemilikan dalam saham PANI yg konservatif:
6000 ha x 51% x 51% = 1560 ha

dan menggunakan harga tanah acuan 20 jt/m2, maka:
20 jt x 10.000 x 1560 = potensi Mcap 312 T.

Kita lebih konservatif lagi, anggap saja hanya bisa sentuh 100 T kan sudah sangat nikmat 😁

*Bukan ajakan beli, selalu analisa sendiri sebelum melakukan pembelian / penjualan.","15 Nov 22, 06:03"
476,gassskeeeun 🚀🚀🚀🚀 $PANI,"15 Nov 22, 05:44"
477,W2: $SMSM $HMSP $PANR $PANI $SMDM,"15 Nov 22, 05:38 · Edited on 15 Nov 22, 05:41"
478,"$PANI 1000ha ke 2650ha nilai investasi naik 3x lipat, ke 6000ha naik lagi 3x lipat. Waduh jadi multibagger berapa kali tuh 🤔

https://cutt.ly/bMv2pSc","15 Nov 22, 05:34"
479,"$PANI udah hampir resmi nih PIK2 nanti mau dikembangkan menjadi 6000 ha dari sekarang 2650 ha.......ahhh tidak mau mimpi dulu tapi kalau 6000 hektar ini dimasukin ke PANI semua secara bertahap dan harga tanahnya naik yah valuasi nya mungkin bisa dihitung.......

tidak ada ajakan beli atau jual ya......kalau memang perlu jual aja PANI nya temen""...... waktu dan view investasi setiap orang berbeda""........","14 Nov 22, 21:58 · Edited on 14 Nov 22, 21:58"
480,@Ali354 RF yang Averagenya 200an di $PANI kan?,"14 Nov 22, 20:39"
481,@yayanahmadi kalau beneran lord aguan mau masuk mungkin skenarionya dibawa tidur di 50 dulu kayak $PANI terus dibackdoor listing pake aset triliunan.. Sayangnya mungkin ini semua hanya mimpi dan angan-angan saja,"14 Nov 22, 19:49"
482,"Selamat malam , hari ini kami akan mereview saham $PANI .
Namun sebelum masuk ke topik pembahasan mengenai saham ini , kami ucapkan happy cuan bagi yang bergabung di channel private kami dengan total FP senilai +32% - 4% .

Mari kita melanjutkan topik mengenai saham PANI .
Hari ini saham PANI close bullish senilai +9,62% dengan harga penutupan 1140 .
Dari kacamata teknikal , saham PANI dalam 5 hari terakhir sukses bertahan dan breakout dari area resistance fibonacci rate 50% dengan harga 990- 1045 .
Asusmi kenaikan saat ini juga di dukung oleh nett buy domestic senilai +2,6M dan asing senilai +3,1M , dan berhasil breakout dari resistance dinamisnya di area 1110 - 1120 , bagaimanakah target untuk saham PANI ? .

Sebelum kita masuk mengenai pembahasann HOW TO TRADE / next target dari saham ini selanjutnya mimin ucapkan happy cuan dengan rekap trade hari ini sebagai berikut
14/11/2022
1.TOBA : +14% (CLOSE TRADE)
2.ADMR : +10 - 6%
3.RAJA : +17% - 200% (CLOSE TRADE)
4.MKTR : +27% (FULL OUT)
5.BBYB : +3%
6.MPMX : +30% ./ +11 - 5%
7.ARKO : +8 - 20% BOLAK BALIK
8.MPPA : +20 - 3 - 2 %
9.PANI : +32%

Top Bagger Creepy
1.PNBN : +271%
2.PNLF : 111%
3,MEDC : +118%
4.CLEO :+50%
5.MBSS : +71%
6.HOMI : +54%
7.KRYA : +200% /34%
8.INCO : +43%
9.BUMI :+300% (CLOSE TRADE)
10.PGAS : +40-27%
11.AKRA : +111% / +20/7%/43%
12.BMRI : +43%
13.BBNI : +32%
14.BBCA : +25%
15.AKRA : +73%
16.INKP : +42%
17. FILM : +300%
18.KIOS : +94%
19.RMKE : +171%
20.ELSA : +31%
21.WINS : 181%
22.RAJA :+244% CLOSE TRADE
23.MYOR : +48%
24.MPMX : +30%
25.PANI : +32%

Bagi yang ingin bergabung ke channel telegram kami bisa klik link berikut : (100%) FREE .

Terimakaish , mari kita lanjutkan pembahasan kita mengenai HOW TO TRADE / Target dari saham PANI untuk besok .
Sejauh ini , target saham Pani sendiri berkumungkinan besar mengejar resistance fibonaccinya dengan asumsi target di 1270 rate 61,80% sebagai next target atau target terakhir dari swing pendek di saham PANI .
How To Trade ?
Posisi belinya akan sangat beresiko dengan asumsi harga antri di area 1120-1110 jikalau di kasih , dengan target yang sama yaitu di 1270 atau secukupnya .

DISCON DYOR

NOTES : Lakukan riset secara mandiri terlebih dahulu sebelum melakukan tindakan aksi jual beli , catatan ini hanya sebagai alat / tolak ukur sebagai tindakan asisten yang membantu dalam mengambil keputusan tapi tidak dalam membuat keputusan .
Kepastian hanya berada di tangan masing masing dengan resiko dan ketetapan yang juga di atur oleh pribadi yang bersangkutan .

Terimakasih telah terus bersama mimin selama ini dengan total Followers dan verified badge baik untuk stockbit dan telegram , dan terimakasih sebesar besarnya untuk keluarga mimin yang tergabung dalam creepyvesment private maupun creepystocks .Untuk rekap trade selengkapnya bisa di lihat melalui link berikut
info selanjutnya silahkan bergabung di channel telegram kami di link berikut :

(100%) FREE

Di dalam di sertakan rekap trade yang sebenarnya baru di rekap walaupun sejauh ini creepy sudah berdiri kurang lebih 1 tahunan dengan posisi FLOATING TERTINGGI 70-90% akurat
Terimakasih sudah mendukung mimin

SLIDE GAMBAR UNTUK MELIHAT CHART","14 Nov 22, 19:07"
483,"StockPick 15 November 2022
(https://bit.ly/bernardidz)
(https://bit.ly/room-cuancommunity)

$CTRA » BUY IF BREAK 965 » CL BELOW 950 » RES 1020
$KEEN » BUY IF BREAK 785 » CL BELOW 715 » RES 910
$PANI » BUY IF BREAK 1165 » CL BELOW 980 » RES 2010

Note:
RES » RESISTEN
CL » CUTLOSS

Update Info Saham Terbaru:
➡️ ⬅️

Belajar Trading Saham Gratis:
➡️ ⬅️

Untuk informasi lebih lengkap, kamu boleh tanyakan ke:
Juni ()
Viona ()

(Disclaimer On)

Cek disini:","14 Nov 22, 17:14"
484,"Semoga dengan penghargaan ini, Minggu ini LK bisa segera di rilis.
melihat broksum hari ini, terlihat underwriter perusahaan kembali akumulasi.
Buat temen2 HOLDERS PANI bersabar lah..
Perjalanan menuju puncak tak terbatas akan segera di mulai..
.
KING OF PROPERTY 💎👑

$PANI","14 Nov 22, 16:45"
485,$PANI yg beli PANI di 1000an hati2 ya. karna bandar punya harga 500an.. distribusi smentara di setting wkwk,"14 Nov 22, 15:30"
486,$PANI,"14 Nov 22, 15:19"
487,"""Investing puts money to work. The only reason to save money is to invest it.""

""Investasi membuat uang bekerja. Satu-satunya alasan menghemat uang adalah untuk menginvestasikannya.""

—Grant Cardone

Random Tag :
$HOPE $KAEF $SMMT $INAF $PANI","14 Nov 22, 14:37"
488,@halowin iyeh om...Qt nikmatin aja om naik turunya $PANI..ya kali aja bulan depan udh 3 rebo...kali aja loh...aplg klo bener isu right issue yg ke2.. who knows yah😄,"14 Nov 22, 14:25"
489,@Alfryan liat tuh $PANI makin meroket 🤣,"14 Nov 22, 14:18"
490,@ADS41 yang benar abis cuan di $PANI . Raja perusahaan property tetap $PANI 🤣,"14 Nov 22, 14:12"
491,$PANI tggl nungguin LK Q3...hbs itu readyyy ✈️✈️✈️,"14 Nov 22, 14:08"
492,"saran gue cuma satu buat nyangkuter $BSBK jangan bunuh diri! karena besok, lusa, dan hari"" berikutnya adalah ARB berturut - turut 🤣🤣🤣 lebih baik hidup tersiksa melihat uang hilang bertahap daripada lu bunuh diri. salam cuan multi bagger dari $PANI","14 Nov 22, 14:03"
493,$PANI 🚀,"14 Nov 22, 14:00"
494,@SyamRaya udah gue bilangin suruh beli $PANI tadi pagi jam 9 waktu harga Rp. 1040 eh malah ngatain gue sok tau dan dia malah beli $BSBK di harga Rp 318 🤣🤣🤣 sekarang nyangkut ARB dan $PANI happy cuan today. Makanya kalau di kasih saran sama yang berpengalaman jangan menyepelekan 🤣🤣🤣,"14 Nov 22, 13:58"
495,"$NANO dihina hina, ngarep 10 perak? ya wis, monggo ditunggu 10 perak. 🤣 😂

edisi pamer, jarang pamer

klo $PANI saham hold kerasss, nunggu turun malahh naik..gak mau Avg Up.","14 Nov 22, 13:51"
496,$PANI lumayanlah buat jajan kuaci,"14 Nov 22, 13:38"
497,yang japri gue kemarin udah gue bilang suruh beli $PANI malah beli $BSBK 🤣🤣 yang HAKA pucuk $BSBK jangan sampai bunuh diri sayangi nyawamu otw menyusul $BAUT. yang HAKA $PANI tadi pagi happy cuan.,"14 Nov 22, 12:51"
498,$PANI,"14 Nov 22, 07:44"
499,"13 nov
ada momentum reversal
1. $BBHI
2. $PANI
3. $KEEN
4. $SRTG
5. $SIDO

strong uptrend
1. SMGR

Manage your risk.","13 Nov 22, 21:55"
500,"@andryhakim kolor ijo beraksi lagi... wkwkkwk

Terbaik bukan berarti labanya juga terbaik..wkwkwkk
$PANI K ya kartunya kebuka...
wkwkwkkwkkkkk","13 Nov 22, 20:52 · Edited on 13 Nov 22, 20:52"
